Descriptions,Value,Function Name
LTM failure word connection exists,16,GV_Create_failure
Set NETLC of intial counter value for Monitored runtime pdm label to VALUE ,5,DCOM_SetEeprom
Set NETLC of Threshold for Monitored runtime pdm label to Maximum value ,5,DCOM_SetEeprom
Perform VAF maneuver and make VAF active for VALUE ms,62,SC_start_maneuver
Deactivate VAF,56,SC_set_label
"Read faults and Lamps % % In platform NETLC make the VAF pdm to VALUE , Pack means VALUE HEX_VALUE",2,DCOM_read_and_eval_fcm_rb
NETLC with partial brake monitoring enabled,56,SC_set_label
Perform a VAF maneuver,62,SC_start_maneuver
Release the VAF maneuver,53,SC_undo_maneuver
Read Pdm label ,0,DCOM_GetEeprom
NETLC with Total NETLC monitoring enabled,56,SC_set_label
Set NETLC of Threshold for Monitored runtime pdm label to Maximum value,5,DCOM_SetEeprom
Set NETLC of intial counter value for Monitored Maneuver pdm label to VALUE ,5,DCOM_SetEeprom
Set NETLC of Threshold for Monitored Maneuver pdm label to Maximum value ,5,DCOM_SetEeprom
Perform VAF maneuver and activate the VAF,62,SC_start_maneuver
Set NETLC of intial counter value for Monitored pdm label to VALUE ,5,DCOM_SetEeprom
Set NETLC of Threshold for Monitored pdm label to VALUE ,5,DCOM_SetEeprom
Perform VAF,62,SC_start_maneuver
"Read faults and Lamps % % In platform NETLC make the first pack of pdm to VALUE ,",2,DCOM_read_and_eval_fcm_rb
Perform VAF maneuver and bring the vehicle to standstill,62,SC_start_maneuver
Set NETLC of Threshold for Monitored pdm label to VALUE,5,DCOM_SetEeprom
Set NETLC of Threshold for Monitored runtime pdm label to value VALUE ,5,DCOM_SetEeprom
Set NETLC of intial counter value for Monitored runtime pdm label to VALUE or threshold minus VALUE value ,5,DCOM_SetEeprom
Perform VAF maneuver and make VAF active for VALUE s,62,SC_start_maneuver
Set NETLC of intial counter value for Monitored runtime pdm label to VALUE or threshold minus VALUE value,5,DCOM_SetEeprom
Set NETLC of Threshold for Monitored Maneuver pdm label to value VALUE ,5,DCOM_SetEeprom
Set NETLC of intial counter value for Monitored Maneuver pdm label to VALUE or threshold minus VALUE value ,5,DCOM_SetEeprom
Wait VALUE s and deactivate the VAF,70,SC_wait_ms
HBA available,21,GV_VDC_maneuver
Applicable for ESP HevX with iBooster Project,23,Printing
Ubatt Default,59,SC_set_Ubatt
AEB available,56,SC_set_label
ABA available,56,SC_set_label
Set vehicle speed above VALUE kph,38,SC_goto_target_speed
Set NETLC to VALUE and NETLC Signal to VALUE in NET Signal,56,SC_set_label
Apply brake in positive gradient,51,SC_set_brake
Vehicle shall be in st,38,SC_goto_target_speed
still and APB should be in released state,13,GV_apb_release
Insert resistor of VALUE ohm between jumpers NETLC and NETLC in the NETLC complex harness or Disconnect APB left motor and connect blocking device,23,Printing
wait till ECU is Ready,70,SC_wait_ms
Set APB button to apply position for VALUE second,11,GV_apb_apply
Set APB button to neutral position,12,GV_apb_neutral
Wait till failure to good check,70,SC_wait_ms
Wait VALUE second Stop ECU Trace Read RB,70,SC_wait_ms
wait for post run time and Remove all manipulations,70,SC_wait_ms
Set Brake = VALUE %,51,SC_set_brake
Set APB button to release position,13,GV_apb_release
Wait VALUE second Stop ECU Trace Read RB and CU failure Memory,70,SC_wait_ms
Insert resistor of VALUE ohm between jumpers NETLC and NETLC in the NETLC complex harness or Disconnect APB right motor and connect blocking device,23,Printing
still and APB should be in locked state,11,GV_apb_apply
Set APB button to release position for VALUE second,13,GV_apb_release
Set APB button to apply position,11,GV_apb_apply
Remove jumper NETLC during actuation,23,Printing
Wait VALUE seconds,70,SC_wait_ms
Wait for postern time and Reset all the manipulations,70,SC_wait_ms
Set Brake = VALUE % Stop ECU Trace Read RB and CU failure Memory,51,SC_set_brake
still and APB should be in applied state,11,GV_apb_apply
Full system and standstill,36,SC_ecu_on
Start ECU Trace NETLC ,31,SC_EA_trace_start
Start diagnosis NETLC ,53,GDCOM_start_communication
Delete any one of PDM item of PARAMETER,6,DIAG_del_EEPROM
Switch off the battery,59,SC_set_Ubatt
Switch on the battery,59,SC_set_Ubatt
Wait rerun time Read RB and CU failure Memory PARAMETER ,70,SC_wait_ms
Wait rerun time Read RB and CU failure Memory NETLC ,70,SC_wait_ms
Press APB button in release direction,11,GV_apb_apply
set it in neutral position,12,GV_apb_neutral
Switch Off the Ignition,41,SC_ignition_off
Wait postern time,70,SC_wait_ms
Wait rerun time Stop ECU Trace Read RB and CU failure Memory,70,SC_wait_ms
still and APB in released state,13,GV_apb_release
Remove jumper UB_VR,23,Printing
Insert resistor of VALUE ohm between jumpers NETLC and NETLC in the NETLC complex harness,23,Printing
Wait rerun time,70,SC_wait_ms
still and APB in locked state,23,Printing
Set APB button in apply direction,11,GV_apb_apply
Wait > PARAMETER,70,SC_wait_ms
Set APB button in release direction,13,GV_apb_release
Set APB button in apply direction again,11,GV_apb_apply
Keep the manipulation on,63,SC_start_manipulation
Turn ignition Off,41,SC_ignition_off
Set APB button in apply direction again Read RB and CU failure Memory NETLC ,11,GV_apb_apply
Set APB button in Neutral position,12,GV_apb_neutral
Set APB button in Neutral position Read RB,12,GV_apb_neutral
Full system and Stand still,36,SC_ecu_on
Set APB button in release direction again Read RB and CU failure Memory PARAMETER ,13,GV_apb_release
Wait postrun time,70,SC_wait_ms
Set APB button in release direction again Read RB and CU failure Memory NETLC ,13,GV_apb_release
set low mue,57,SC_set_mue
Set APB button in apply direction till vehicle reaches to standstill,11,GV_apb_apply
Set APB button to neutral state,12,GV_apb_neutral
"IGN ON with Ubatt = VALUE V , Full system",36,SC_ecu_on
Vehicle in Standstill . APB system is released,38,SC_goto_target_speed
Start MM6 & NET Measurement,32,SC_EA_trace_start_and_net
IGN OFF wait for Postrun,41,SC_ignition_off
Stop MM6 & NET Measurement,34,SC_EA_trace_stop_and_net
Set vehicle speed > NETLC AND vehicle signal is valid,38,SC_goto_target_speed
Set NETLC to Lock,56,SC_set_label
Apply APB button in apply direction,11,GV_apb_apply
set in neutral direction,12,GV_apb_neutral
Switch Off the ignition and switch it ON,42,SC_ignition_off_on
Switch Ignition Off and On,42,SC_ignition_off_on
Reset all manipulations,47,SC_release_stimuli_signal
Set vehicle speed < NETLC AND vehicle signal is valid,38,SC_goto_target_speed
Set NETLC to Release,56,SC_set_label
Apply APB button in release direction,11,GV_apb_apply
HHC should be available,56,SC_set_label
Set road slope = VALUE,64,SC_stimuli_signal_constant
Drive off straight ahead with speed more than VALUE km/hr in forward direction,38,SC_goto_target_speed
Set a positive road slope ,64,SC_stimuli_signal_constant
Apply brake,51,SC_set_brake
bring the vehicle to Standstill with gear position not changed,38,SC_goto_target_speed
Wait for HHC hold time ,70,SC_wait_ms
 For Manual gear box use parameter PARAMETER,56,SC_set_label
For Automatic gear box use parameter PARAMETER,56,SC_set_label
Set a negative road slope,64,SC_stimuli_signal_constant
Apply brake and bring the vehicle to Standstill,54,SC_set_brake_and_wait
Then change the gear position to Reverse,55,SC_set_gear
Set brake pedal VALUE %,51,SC_set_brake
set slope = VALUE %,64,SC_stimuli_signal_constant
Drive the vehicle with vehicle speed VALUE kmph,38,SC_goto_target_speed
Set NETLC Net Signal to Active and NETLC signal to VALUE m/s2,29,SC_CA_write_can_signal
set the slope = VALUE %,64,SC_stimuli_signal_constant
Set NETLC Net Signal to NotActive and NETLC signal to VALUE m/s2,29,SC_CA_write_can_signal
Set the NET signal for standstill request with brake torque less than VALUE,29,SC_CA_write_can_signal
Undo the manipulation,47,SC_release_stimuli_signal
Speed = VALUE kph,38,SC_goto_target_speed
NETLC = > VALUE,56,SC_set_label
wait until standstill + VALUE s,70,SC_wait_ms
Enable AVH Function,56,SC_set_label
Make sure that driver is present,56,SC_set_label
engine should be ON with Full system,56,SC_set_label
Apply full brake,51,SC_set_brake
Drive off straight ahead with speed more than VALUE kmph in forward direction,38,SC_goto_target_speed
Set the road slope > PARAMETER,64,SC_stimuli_signal_constant
release AVH button once,56,SC_set_label
Apply full brake till vehicle reaches to standstill,51,SC_set_brake
Set the road slope = PARAMETER + VALUE,64,SC_stimuli_signal_constant
Set the road slope,64,SC_stimuli_signal_constant
Set DriveTrain = Not available,56,SC_set_label
Apply Park brake,51,SC_set_brake
Wait for HHC hold time,70,SC_wait_ms
Drive off straight ahead with speed more than VALUE km/hr in forward direction and pMc failure is set,38,SC_goto_target_speed
Drive off straight ahead with speed more than VALUE km/hr in forward direction and Bls failure is set,38,SC_goto_target_speed
create Pump Hydraulic failure ,16,GV_Create_failure
Drive off straight ahead with speed more than VALUE km/hr in forward direction and Valve failure is set,38,SC_goto_target_speed
Drive off straight with speed more than VALUE km/hr in forward direction,38,SC_goto_target_speed
gear N,55,SC_set_gear
Wait for PARAMETER + PARAMETER + PARAMETER ,70,SC_wait_ms
Wait for PARAMETER + PARAMETER + PARAMETER,70,SC_wait_ms
Set Driverpresence = VALUE,56,SC_set_label
Wait for HHC hold time + VALUE s,70,SC_wait_ms
Drive off with VALUE % Throttle pedal,38,SC_goto_target_speed
Drive off by Setting Throttle pedal equal to NETLC,38,SC_goto_target_speed
engine torque value is not sufficient ,64,SC_stimuli_signal_constant
Wait for PARAMETER + PARAMETER + VALUE s,70,SC_wait_ms
wait for sometime,70,SC_wait_ms
"Set Driver brake request ON , with brake pressure > VALUE bar",51,SC_set_brake
Wait for VALUE secs,70,SC_wait_ms
Set the slope lesser than PARAMETER,64,SC_stimuli_signal_constant
Set Ax sensor failure,20,GV_UNDO_failure
HHC and EBR should be available,23,Printing
Set the road slope > VALUE,64,SC_stimuli_signal_constant
ESP Full System available,23,Printing
Mue value = VALUE,57,SC_set_mue
Drive off straight ahead with speed of VALUE kmph,38,SC_goto_target_speed
Set the gear position to VALUE,55,SC_set_gear
Set mue value to VALUE,57,SC_set_mue
Drive ahead by increasing speed linearly upto VALUE kmph,38,SC_goto_target_speed
by steering the vehicle linearly upto VALUE degrees simultaneously ,58,SC_set_SteeringAngle
Simulate the VDC maneuver such that the VDC controller sends the Engine Torque increase request,21,GV_VDC_maneuver
Set the mue value < VALUE,63,SC_start_manipulation
Drive off straight ahead above velocity VALUE kmph,38,SC_goto_target_speed
Set brake pedal to make vehicle standstill,54,SC_set_brake_and_wait
Perform SLALOM maneuver for the VDC intervention,21,GV_VDC_maneuver
Simulate the LDM Torque decrease request maneuver ,63,SC_start_manipulation
Simulate the LDM Torque increase request maneuver ,63,SC_start_manipulation
Disable Engine and GearBox PDUs,24,SC_CA_disable_messages
Enable Engine and GearBox PDUs,25,SC_CA_enable_messages
NETLC = NETLC,56,SC_set_label
Simulate the ABS centre coupling torque request ,63,SC_start_manipulation
Simulate the VDC centre coupling torque request ,63,SC_start_manipulation
Simulate the any one WSS centre coupling torque request ,63,SC_start_manipulation
Simulate the TCS centre coupling torque request ,63,SC_start_manipulation
Simulate the CRB torque request to CCC element ,63,SC_start_manipulation
Disable the CAN / FLEXRAY message transmitting the output rod information ,24,SC_CA_disable_messages
Reset the CAN/FLEXRAY message,25,SC_CA_enable_messages
Set the CAN/FLEXRAY signal for Master Cylinder pressure to VALUE bar ,29,SC_CA_write_can_signal
Brake pedal apply slow,51,SC_set_brake
Create a Soft pedal failure,20,GV_UNDO_failure
Set Gear D or semi automatic,55,SC_set_gear
Set Accelerator to VALUE percent,48,SC_set_accelerator
Apply brake pedal,51,SC_set_brake
Set gear N and without slope,55,SC_set_gear
Apply Fast brake pedal,51,SC_set_brake
Release the Brake pedal fast,51,SC_set_brake
Set vehicle speed = VALUE,38,SC_goto_target_speed
Apply VALUE % brake,51,SC_set_brake
wait till vehicle reaches standstill,70,SC_wait_ms
Release brake pedal and increase the accelerator,52,SC_set_brake_and_acc
Release the accelerator and bring vehicle to standstill,48,SC_set_accelerator
Gear in neutral,55,SC_set_gear
Apply brake pedal very slowly to VALUE %,51,SC_set_brake
Accelerate to Vehicle speed = VALUE km/h,48,SC_set_accelerator
Apply brake pedal such that stroke value is VALUE mm,51,SC_set_brake
Brake pedal apply VALUE %,51,SC_set_brake
Activate External brake request,56,SC_set_label
Set brake pedal = VALUE bar,51,SC_set_brake
Create a stroke sensor failure,16,GV_Create_failure
Set vehicle speed to VALUE,38,SC_goto_target_speed
Apply brake pedal such that > = threshold is reached,51,SC_set_brake
Apply brake pedal such that < threshold is reached,51,SC_set_brake
Set EEPROM value to HEX_VALUE,5,DCOM_SetEeprom
Wait for the Postrun time,70,SC_wait_ms
Set the brake pedal such that input rod = VALUE mm very slowly,51,SC_set_brake
Read the fault memory,3,DCOM_read_and_eval_fcm_rb_cu
Set the brake pedal such that pressure build up is < VALUE bar,51,SC_set_brake
Set the brake pedal such that pressure build up is > VALUE bar,51,SC_set_brake
Set stiffness EEPROM value to Max plausible value,5,DCOM_SetEeprom
Set the brake pedal input rod = VALUE mm slowly or in case of vacuum booster VALUE % brake,51,SC_set_brake
Set pressure sensor value constant to be VALUE bar in the model,64,SC_stimuli_signal_constant
Apply CDP/HHC such that brake pressure is greater than threshold,51,SC_set_brake
Disable CDP/HHC,56,SC_set_label
Set EEPROM value to Max value HEX_VALUE,5,DCOM_SetEeprom
Set EEPROM value to Min value HEX_VALUE,5,DCOM_SetEeprom
Current state BSM should be ON,56,SC_set_label
Gear in neutral position N,55,SC_set_gear
Start PTS calibration Diagnosis sequence : HEX_VALUE,4,DCOM_send_request
Ignition Toggle,42,SC_ignition_off_on
Stop the measurement ,33,SC_EA_trace_stop
Start system,59,SC_set_Ubatt
Constant vehicle velocity,64,SC_stimuli_signal_constant
No brake pedal application,51,SC_set_brake
Manipulate pedal travel sensor VALUE & VALUE signals to fixed / frozen signals of VALUE mm,63,SC_start_manipulation
Slow brake pedal application from VALUE mm to maximum push rod stroke,51,SC_set_brake
Stop Mesurement,33,SC_EA_trace_stop
Shutdown system,35,SC_ecu_off
Restart system,42,SC_ignition_off_on
Fault absence behavior,23,Printing
Brake pedal application from VALUE mm to maximum push rod stroke,51,SC_set_brake
Manipulate pedal travel sensor VALUE signals to fixed / frozen signals of VALUE mm,63,SC_start_manipulation
Release brake to VALUE %,51,SC_set_brake
Apply VALUE % of brake pedal,51,SC_set_brake
Release brake pedal to VALUE %,51,SC_set_brake
ESP HEV with iBooster Fault free system Ignition on Current state BSM should be ON,43,SC_ignition_on
Gear in neutral position N Description ,55,SC_set_gear
Drive straight on and not in a strong curve,38,SC_goto_target_speed
Accelerator position > VALUE %,48,SC_set_accelerator
Pressure at the front wheels < VALUE bar,51,SC_set_brake
Set NETLC = { VALUE 14 },56,SC_set_label
Wait until wetness > VALUE %,70,SC_wait_ms
Set ABS_active_120ms = True,56,SC_set_label
Check brake light,46,SC_read_label
Check Bosch fault entry,2,DCOM_read_and_eval_fcm_rb
Check Customer fault entry,1,DCOM_read_and_eval_fcm_cu
Set ABS_active_120ms = False,51,SC_set_brake
Set NETLC = VALUE,56,SC_set_label
Press Driver Brake,51,SC_set_brake
Check brake light during Driver brake,51,SC_set_brake
Reset brake pedal = VALUE %,51,SC_set_brake
Check NETLC at time : NETLC = NETLC + VALUE s,46,SC_read_label
Set pressure sensor fault,64,SC_stimuli_signal_constant
Reset pressure sensor fault,47,SC_release_stimuli_signal
Set ESP failure,64,SC_stimuli_signal_constant
Set NETLC = failure,64,SC_stimuli_signal_constant
set NETLC = no failure,64,SC_stimuli_signal_constant
Set a Bls failure,51,SC_set_brake
"Wait VALUE s , reset Bls failure",70,SC_wait_ms
Enable AVH Function and Full system,56,SC_set_label
Make sure Slope = VALUE % and SteeringAngle = VALUE degree,64,SC_stimuli_signal_constant
Set Driver Present = True,56,SC_set_label
APB should be in released state Start ECU Trace,56,SC_set_label
Set AVH button to apply and Reset to release value,56,SC_set_label
Wait VALUE seconds Stop ECU Trace Read RB,70,SC_wait_ms
APB should be in released state Start Mesurement,13,GV_apb_release
Interrupt APB left motor pins to Create APB failure,44,SC_interrupt_lines
Wait VALUE sec Stop Mesurement Read RB,70,SC_wait_ms
APB should be in released state,13,GV_apb_release
Gear = Drive mode,55,SC_set_gear
Create Hydraulic valve failure,16,GV_Create_failure
Wait seconds Stop ECU Trace Read RB,70,SC_wait_ms
Interrupt APB right motor pins to Create APB failure,44,SC_interrupt_lines
Wait till vehicle reaches to VALUE kph,70,SC_wait_ms
Start ECU Trace Set Accelerator pedal = VALUE %,48,SC_set_accelerator
Wait till vehicle speed reaches to VALUE kph Set Accelerator pedal = VALUE %,70,SC_wait_ms
Set Accelerator pedal = { > NETLC },48,SC_set_accelerator
Wait VALUE seconds Stop ECU Trace Remove all manipulations,70,SC_wait_ms
Set vehicle speed to Zero Read RB and CU failure Memory,38,SC_goto_target_speed
"Gear = Neutral , eSet Accelerator pedal = VALUE %",55,SC_set_gear
Set Gear = Forward,55,SC_set_gear
Gear = Neutral,55,SC_set_gear
Set Gear = Reverse,55,SC_set_gear
Set Ax = VALUE,64,SC_stimuli_signal_constant
Set All wss speed sensor values to VALUE m/s for VALUE ms,64,SC_stimuli_signal_constant
Set Vehicle Speed to VALUE kmph,38,SC_goto_target_speed
Make sure Slope = VALUE %,64,SC_stimuli_signal_constant
Gear = Drive and SteeringAngle = VALUE degree,58,SC_set_SteeringAngle
wait for Postrun Stop ECU Trace,70,SC_wait_ms
wait Prerun Start ECU Trace,70,SC_wait_ms
Select a NETLC for which historic values are acceptable as replacement values ,0,DCOM_GetEeprom
Write a value to the NETLC with the help of TKWinX,5,DCOM_SetEeprom
wait till the ECU sleeps,70,SC_wait_ms
Read the NETLC again,46,SC_read_label
Write a new value to NETLC ,56,SC_set_label
Take the dump by using NVM to File option in the Tkwinx,5,DCOM_SetEeprom
Corrupt the Data Item by manipulating the data/Metadata of this Data item ,5,DCOM_SetEeprom
Write the dump to Dflash/EEPROM using Tkwinx function file to NvM,5,DCOM_SetEeprom
Now read the Data Item XX,0,DCOM_GetEeprom
Write back the Dump in from PRECONDITION,5,DCOM_SetEeprom
Select a Data Item which is never written by application ,0,DCOM_GetEeprom
Read all the Data items by taking the NVM Dump using NVM to File,0,DCOM_GetEeprom
create a sequence file which writes continuously to NETLC other than NETLC XX with the help of TKWinX,4,DCOM_send_request
Read again all the Data items by taking the NVM Dump using NVM to File,0,DCOM_GetEeprom
Select a NETLC XX for which Data loss by Data Corruption is not acceptable . Data Item should have two copies,0,DCOM_GetEeprom
Write a value to the NETLC XX by using TkWinx ,5,DCOM_SetEeprom
wait till ECU sleeps,70,SC_wait_ms
Read the NETLC XX by using Tkwinx,0,DCOM_GetEeprom
Write a New value to the data item XX by using TkWinx,5,DCOM_SetEeprom
Take NVM Dump by using NVM to FILE . Corrupt the Data or checksum in one copy of NETLC XX,0,DCOM_GetEeprom
Now Read the NETLC,46,SC_read_label
Select a NETLC XX for which fallback to an older value is acceptable in case of loss of the latest written value,0,DCOM_GetEeprom
Write a New value to the data item XX by using TkWinx ,5,DCOM_SetEeprom
Take NVM Dump by using NVM to FILE . Corrupt the Data or checksum of NETLC XX,0,DCOM_GetEeprom
Write the dump to Dflash/EEPROM using Tkwinx function file to NvM ,5,DCOM_SetEeprom
Now Read the NETLC XX,46,SC_read_label
Select a NETLC XX for which fallback to an older value is not acceptable in case of loss of the latest written value,0,DCOM_GetEeprom
Take NVM Dump by using NVM to FILE ,0,DCOM_GetEeprom
Erase the Data of NETLC XX,5,DCOM_SetEeprom
Select a NETLC XX for which Data loss by Power interruption is not acceptable ,0,DCOM_GetEeprom
Corrupt the Meta Data of NETLC XX,5,DCOM_SetEeprom
Write a Data item by triggering the TSI command HEX_VALUE XX XX NETLC,5,DCOM_SetEeprom
Read theta item by triggering the TSI command HEX_VALUE XX XX XX XX = PDM NETLC,0,DCOM_GetEeprom
Take a dump as the backup,0,DCOM_GetEeprom
Take a NETLC by NVM to FILE ,0,DCOM_GetEeprom
Overwrite the data items of the Medium bytes by using the option FILE to NVM in the TkWinx,5,DCOM_SetEeprom
Take a NETLC by NVM to FILE,0,DCOM_GetEeprom
Load a NVM NETLC file to DFLASH/EEPROM by using option FILE to NVM,0,DCOM_GetEeprom
Start complete medium erase by triggering the TSI command HEX_VALUE,5,DCOM_SetEeprom
Read a data item NETLC,0,DCOM_GetEeprom
Toggle power button,42,SC_ignition_off_on
Do ignition ON,43,SC_ignition_on
Read the value of same block,33,SC_EA_trace_stop
Switch ignition on ,43,SC_ignition_on
Wait till PARAMETER is over ,70,SC_wait_ms
Take Dump as backup,0,DCOM_GetEeprom
Trigger NvM write for survival and non survival block,5,DCOM_SetEeprom
Take a dump via NETLC,0,DCOM_GetEeprom
Do power reset,42,SC_ignition_off_on
Trigger force NETLC via Tkwinx,5,DCOM_SetEeprom
Read back the written blocks at step VALUE,0,DCOM_GetEeprom
Set Gear position to Drive,55,SC_set_gear
Set split mue surface,57,SC_set_mue
Connect WSS FL line to GND,44,SC_interrupt_lines
Reset the WSS FL line,66,SC_undo_interrupt_lines
Check RB Failure memory,3,DCOM_read_and_eval_fcm_rb_cu
Check customer Failure memory,1,DCOM_read_and_eval_fcm_cu
. Check customer Failure memory,1,DCOM_read_and_eval_fcm_cu
Wait PARAMETER S,70,SC_wait_ms
Set NET ABP Prefill Request to NotActive * PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC,29,SC_CA_write_can_signal
Drive off straight ahead with speed less than PARAMETER m/s,38,SC_goto_target_speed
Set NET ABP Prefill Request to NotActive,29,SC_CA_write_can_signal
Drive off straight ahead above speed PARAMETER m/s change steering to Make Lateral acceleration Ay above PARAMETER,38,SC_goto_target_speed
Wait S,70,SC_wait_ms
Set NET ABP Prefill Request to Not Active,56,SC_set_label
Stop Measurement * PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC,33,SC_EA_trace_stop
Wait ms,70,SC_wait_ms
Manipulate single wheel speed to Model * Constant to create wheel slip equal to or greater than PARAMETER,58,SC_set_SteeringAngle
Reset the manipulation of wheel speed,67,SC_undo_manipulation
Set NET ABP Prefill Request to Not Active Maximum Activation Time = * PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC Sample calculation ,29,SC_CA_write_can_signal
PARAMETER = VALUE . Manipulate single wheel speed to Model * Constant PARAMETER = VALUE . Manipulate single wheel speed to Model * Constant,64,SC_stimuli_signal_constant
Drive off above speed PARAMETER m/s ,38,SC_goto_target_speed
Apply Brake to reach pressure greater,51,SC_set_brake
Set NET ABP Prefill Request to Not Active Maximum Activation Time = * PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC,29,SC_CA_write_can_signal
change steering to Make Lateral acceleration Ay above PARAMETER,58,SC_set_SteeringAngle
Manipulate all wheel speed to Model * Constant,64,SC_stimuli_signal_constant
Drive off straight ahead with speed above PARAMETER m/s,38,SC_goto_target_speed
Set NET ABP Prefill Request to Not Active * PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC Default Value is VALUE s,29,SC_CA_write_can_signal
Activate Higher Pressure Profile VAF . Refer RB STIMULATION,56,SC_set_label
Set NET ABP Prefill Request to Not Active * PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC,29,SC_CA_write_can_signal
Undo bls failure,51,SC_set_brake
Deactivate ABP functionality Via EEPROM,4,DCOM_send_request
Create pressure sensor line failure . Pressure Sensor failure should created before ABP is deactivated,16,GV_Create_failure
Undo pressure sensor line failure,20,GV_UNDO_failure
Wait PARAMETER + PARAMETER S,70,SC_wait_ms
Set NET ABP Prefill Request to Not Active PARAMETER = PARAMETER + PARAMETER + PARAMETER * NETLC,29,SC_CA_write_can_signal
Set NETLC to VALUE and then NETLC Signal to VALUE in NET Signal,64,SC_stimuli_signal_constant
Wait VALUE sec ,70,SC_wait_ms
Read RB and CU fault ,3,DCOM_read_and_eval_fcm_rb_cu
Reset NETLC and NETLC Signal to VALUE,56,SC_set_label
Release the accelerator ,48,SC_set_accelerator
Set NETLC Signal to VALUE and NETLC to VALUE in NET Signal,56,SC_set_label
Wait for PARAMETER + VALUE sec,70,SC_wait_ms
Start NET & ECU measurement .,32,SC_EA_trace_start_and_net
Stop NET & ECU measurement,33,SC_EA_trace_stop
Configure LC_INFO frames,23,Printing
Set All WSS speed to VALUE m/s,38,SC_goto_target_speed
Start NET & XCP on CAN measurement ,18,GV_NET_trace_start
Set WSS Front Left speed to VALUE m/s - Set Labcar signal NETLC = VALUE - Set Labcar signal NETLC = VALUE - Set Labcar signal NETLC = VALUE - Set Labcar signal NETLC = VALUE,56,SC_set_label
Decrease the voltage slowly in VALUE V steps till,59,SC_set_Ubatt
Decrease the voltage slowly in VALUE V steps till ECU shuts down,59,SC_set_Ubatt
Increase the voltage slowly in VALUE V steps till,59,SC_set_Ubatt
Increase the voltage slowly in VALUE V steps till ECU shuts down,59,SC_set_Ubatt
Switch ignition OFF,41,SC_ignition_off
Send a CAN frame trigger,29,SC_CA_write_can_signal
wait less than VALUE ms,70,SC_wait_ms
Send wakeup trigger via CAN,29,SC_CA_write_can_signal
Send wakeup trigger via CAN shortly before the communication stops,29,SC_CA_write_can_signal
Short CAN1-H line and CAN1-L line,61,SC_short_lines
Short CAN2-H line and CAN2-L line,61,SC_short_lines
Short CAN1-H line and GRND,61,SC_short_lines
Short CAN2-H line and GRND,61,SC_short_lines
Short CAN1-L and UBATT,61,SC_short_lines
Short CAN2-L and UBATT,61,SC_short_lines
Short CAN1-H line and UBATT,61,SC_short_lines
Short CAN2-H line and UBATT,61,SC_short_lines
Short CAN1-L line and GRND,61,SC_short_lines
Short CAN2-L line and GRND,61,SC_short_lines
wait till bus communication is off but ECU is not in sleep condition,70,SC_wait_ms
wait till ECU sleep time + VALUE s,70,SC_wait_ms
Enable the configured Can message with right payload in bus ,25,SC_CA_enable_messages
Enable the configured Can message with wrong payload in bus ,25,SC_CA_enable_messages
Enable the non configured Can message with right payload in bus ,25,SC_CA_enable_messages
Disable LC_INFO frames,24,SC_CA_disable_messages
Setup CAN engine with VALUE KBit baudrate,29,SC_CA_write_can_signal
wait till VALUE ms,70,SC_wait_ms
Reload the labcar model with correct model,23,Printing
Setup CAN-FD engine with VALUE MBit baudrate,29,SC_CA_write_can_signal
Start the test bench,23,Printing
Reload the labcar model with correct CAN-FD engine,23,Printing
Change Net receive signal value of specified signal from CAN as well as one from CAN - FD,29,SC_CA_write_can_signal
Change Net receive signal value of same signal from CAN as well as from CAN - FD,29,SC_CA_write_can_signal
Setup Flexray engine with correct baudrate,29,SC_CA_write_can_signal
Setup Flexray engine with wrong baudrate,29,SC_CA_write_can_signal
Switch off ignition,41,SC_ignition_off
Send a wakeup trigger,29,SC_CA_write_can_signal
wait till Bus communication stopped but ECU is not in sleep mode,70,SC_wait_ms
Interrupt Flexray-H line,44,SC_interrupt_lines
Short Flexray-H and Flexray-L line,29,SC_CA_write_can_signal
Short Flexray-H and Ubatt,64,SC_stimuli_signal_constant
Reset fault condition,20,GV_UNDO_failure
Short Flexray-H and Ground,61,SC_short_lines
Short Flexray-L and Ubatt,61,SC_short_lines
Short Flexray-L and Ground,61,SC_short_lines
Interrupt Flexray-L line,44,SC_interrupt_lines
Disable the Flexray communication from the test bench,23,Printing
Set Net receive signal from LIN to a fixed value,29,SC_CA_write_can_signal
Send wakeup trigger,29,SC_CA_write_can_signal
Send the wakeup trigger shortly before the communication stops,29,SC_CA_write_can_signal
Disable the LIN communication from the test bench,4,DCOM_send_request
Enable LIN communication,4,DCOM_send_request
Enable LIN communication from the test bench,4,DCOM_send_request
In Platform project - SCM function is always available,56,SC_set_label
Set Alive counter of SCM NET message from Airbag ecu = VALUE,56,SC_set_label
Read Lamps,56,SC_set_label
Set the checksum of SCM NET message from Airbag ecu = VALUE,29,SC_CA_write_can_signal
Disable the CAN/Flexray message from Airbag ECU ,24,SC_CA_disable_messages
Disable the Node - Airbag ECU ,24,SC_CA_disable_messages
Set the DLC of SCM NET message from Airbag ecu = Current value - VALUE,29,SC_CA_write_can_signal
